"beer_id"	"beer_name"	"brewer_name"	"beer_style"	"distribution"	"brewery_location"	"commercial_desc"	"RATINGS: "	"MEAN (/5)"	"WEIGHTED AVG"	"EST. CALORIES"	"ABV (%)"	"IBU"	"SCORE"	"AROMA (/10)"	"APPEARANCE(/5)"	"TASTE(/10)"	"PALATE(/5)"	"OVERALL(/20)"	"reviewer_name"	"review_location"	"review_date"	"review_content"
"1"	"Trillium Sunshower - Galaxy Dry Hopped"	"Trillium Brewing Company"	"Saison"	"Local Distribution"	"Boston , Massachusetts USA"	"Galaxy Dry Hopped Sunshower Super Saison"	10.000	3.760	3.530	255.000	8.500	""	"4.1"	9.000	4.000	8.000	4.000	16.000	"Alengrin"	"BELGIUM "	"JUL 27, 2015"	"American farmhouse ale, courtesy of tderoeck. Very thick, rocky, stable, clearly hops-enhanced, thickly lacing, snow white head over a light hazy, beautifully pale yellow blonde beer. Wonderfully fragrant aroma of lemon peel, chamomille, orange peel, white pepper, pine needles, lavender, white bread, passionfruit, white grapes, old cheese, pear. Vivid, fruity but 'clean' onset, melon, pineapple, pear, creamy mouthfeel with just the right amount of carbonation, sweetish bready and lightly honeyish maltiness, slightly yeasty, dry finish, complexely hoppy, floral, bit citrussy, bit piney with some of the exotic fruitiness coming through. Saisons pop up everywhere these days and are not necessarily dry-hopped, but I can accept this one as a very refined example of the style. Great beer. "
"1"	"Trillium Sunshower - Galaxy Dry Hopped"	"Trillium Brewing Company"	"Saison"	"Local Distribution"	"Boston , Massachusetts USA"	"Galaxy Dry Hopped Sunshower Super Saison"	10.000	3.760	3.530	255.000	8.500	""	"4"	8.000	4.000	8.000	4.000	16.000	"sebletitje"	"Enghien, BELGIUM "	"JUL 26, 2015"	"75cl bottle courtesy of and shared with Tdereock. Dor'e, col blanc 'pais. Ar'me au bouquet super rafraichissant, fleuri avec un r'tro belge dans la levure. Houblon sympa sans vraiment surfaire le c't' Galaxy. Palais pr'sente un agr'able et puissant profil agrumes avec pas mal de Galaxy, retrouve un c't' melon et finement poivr'. Malt p'le, pils froment, pour un fini rustique de style farmhouse, fini l'g'rement 'pic' et herbac'. "
"1"	"Trillium Sunshower - Galaxy Dry Hopped"	"Trillium Brewing Company"	"Saison"	"Local Distribution"	"Boston , Massachusetts USA"	"Galaxy Dry Hopped Sunshower Super Saison"	10.000	3.760	3.530	255.000	8.500	""	"4.7"	9.000	5.000	10.000	5.000	18.000	"77ships"	"Antwerpen, BELGIUM "	"JUL 26, 2015"	"Thanks to tderoeck! 750 ml. bottle split by five. Should be about 6 weeks old. Dark orange, quite hazy, creamy big white head. Nose is lightly dank, very creamy, melon, light flowers, white bread hay, white grapes, delicate rich hops,.. Taste is dry grass, melon, white grass, creamy white bread, light floral, touch dank & cheese, some hay,' Super creamy,' Almost a bit reminiscent in its profile to a delicate white wine but with more body & creamier. I wouldn't call it a saison, comparable to the versions of Congress Street we tried at the same tasting,' It doesn't matter, this is a pretty wonderful beer. "
"1"	"Trillium Sunshower - Galaxy Dry Hopped"	"Trillium Brewing Company"	"Saison"	"Local Distribution"	"Boston , Massachusetts USA"	"Galaxy Dry Hopped Sunshower Super Saison"	10.000	3.760	3.530	255.000	8.500	""	"4"	8.000	4.000	8.000	4.000	16.000	"Bule"	"California, USA "	"JUL 16, 2015"	"750ml bottle pours a hazy golden color with a bit of head. Nice hop profile against the Belgian yeast. Some lemon citrus. "
"1"	"Trillium Sunshower - Galaxy Dry Hopped"	"Trillium Brewing Company"	"Saison"	"Local Distribution"	"Boston , Massachusetts USA"	"Galaxy Dry Hopped Sunshower Super Saison"	10.000	3.760	3.530	255.000	8.500	""	"3.7"	7.000	4.000	8.000	3.000	15.000	"jkwood04"	"Connecticut, USA "	"JUL 9, 2015 "	"Bottle in a tulip. Pours hazy golden with a white head. Aroma of floral and fruity hops, some spicy yeast, bananas and cloves, light malts, and some notes of light fruits. Flavor the same with a decent blend. Average texture. Not bad but expected better from Trillium. "
"1"	"Trillium Sunshower - Galaxy Dry Hopped"	"Trillium Brewing Company"	"Saison"	"Local Distribution"	"Boston , Massachusetts USA"	"Galaxy Dry Hopped Sunshower Super Saison"	10.000	3.760	3.530	255.000	8.500	""	"3"	5.000	3.000	6.000	3.000	13.000	"PhillyCraft"	"Philadelphia, Pennsylvania, USA "	"JUN 28, 2015"	"Bottle, golden shade with small white head. Notes of cheesy hop, and sweet saison. Not managed well at all. It's 2 beers fighting each other...a dankly hopped ipa and a very average saison. Should have made this two different offerings or not made it at all. Waste of delicious Galaxy hops. "
"1"	"Trillium Sunshower - Galaxy Dry Hopped"	"Trillium Brewing Company"	"Saison"	"Local Distribution"	"Boston , Massachusetts USA"	"Galaxy Dry Hopped Sunshower Super Saison"	10.000	3.760	3.530	255.000	8.500	""	"3.5"	7.000	4.000	7.000	3.000	14.000	"jredmond"	"Manhattan, New York, USA "	"JUN 27, 2015"	"Bottle at Ryan's June 2015 tasting. Pours a bright murky golden with soft white lacing. Mouthfeel is soft with notes of muted yeast, soft floral character, fresh grass and light veggies. "
"1"	"Trillium Sunshower - Galaxy Dry Hopped"	"Trillium Brewing Company"	"Saison"	"Local Distribution"	"Boston , Massachusetts USA"	"Galaxy Dry Hopped Sunshower Super Saison"	10.000	3.760	3.530	255.000	8.500	""	"3.2"	6.000	3.000	7.000	3.000	13.000	"ClarkVV"	"Allston, Massachusetts, USA "	"JUN 21, 2015"	"32oz growler filled 6/8/15, drunk 6/14/15 And here I was ready to write off all of these 'different' dry-hopped versions of Sunshower as just one [not so hot] batch with very marginal variations from the hops. Granted, the Galaxy didn't taste all that much different from the previous two, but what it did lack was that big cotton candy, aspartame-like sweetness mixed with too much punchy sweet tart-like candied fruitiness. The aroma was still a mixed bag for me (and my friend who had some), with some raw yeastiness and very inelegant esters (canned peach, spoiling apricot). Light citrus and mango somewhat elevate but it still seems too messy. No alcohol in the nose, at least. The flavor, for whatever reason, is MUCH cleaner than the others. Instead of the cotton candy and sweet tarts, It's a more dry, hop centered strong ale-like flavor. Not overly Belgian, again, but the hops are done well, adding moderate bitterness but no resin (mangoes, starfruit, cherries, oranges). Carbonation is a little tighter, or perhaps it just feels so, having less yeast and/or hop particle slickness in the mouthfeel. So, more of just a strong, hoppy pale ale here. Definitely not rating this as a super saison, even, on which, it would score much worse. Either this is a second batch fermented a bit longer/lower temps, or (likely) this one just had more time to condition before its release. The beer looked in better condition, as well, having only a light haziness to its soft copper-tangerine juice color. White head was large and slowly receded to cover. "
"1"	"Trillium Sunshower - Galaxy Dry Hopped"	"Trillium Brewing Company"	"Saison"	"Local Distribution"	"Boston , Massachusetts USA"	"Galaxy Dry Hopped Sunshower Super Saison"	10.000	3.760	3.530	255.000	8.500	""	"3.5"	7.000	4.000	7.000	3.000	14.000	"williamstome"	"Somerville, Massachusetts, USA "	"JUN 15, 2015"	"Hazy gold pour, big white head. Aroma of peach, hay, fruit and yeast, flavor of peach, yeast, hay, very citrusy and peachy for a saison. Good overall, but the flavor is a bit too intensely pointed, tart, sweet. "
"1"	"Trillium Sunshower - Galaxy Dry Hopped"	"Trillium Brewing Company"	"Saison"	"Local Distribution"	"Boston , Massachusetts USA"	"Galaxy Dry Hopped Sunshower Super Saison"	10.000	3.760	3.530	255.000	8.500	""	"3.9"	8.000	3.000	8.000	4.000	16.000	"thornecb"	"Marblehead, Massachusetts, USA "	"JUN 13, 2015"	"Pours hazy gold into a tulip. Bright white head with medium retention recedes to skim surface. Pineapple, mango and salty funk aromas. Medium bodied with sweet pineapple and passionfruit upfront turning to mango before the lasting earthy pith finish."
